Rank,team_num,Team,Team_Name,year,HomeGames,Home_TOT,Home_AVG,Home_AVG_z,Home_AVG_sd1,Home_AVG_sd2,Home_AVG_sd3,Home_AVG_sdComb,Home_AVG_sdInt,Home_AVG_zcolor,Home_PCT,RoadGames,Road_TOT,Road_AVG,Road_AVG_z,Road_AVG_sd1,Road_AVG_sd2,Road_AVG_sd3,Road_AVG_sdComb,Road_AVG_sdInt,Road_AVG_zcolor,ROAD_PCT,TOT_Games,TOT_TOT,TOT_AVG,TOT_AVG_z,TOT_AVG_sd1,TOT_AVG_sd2,TOT_AVG_sd3,TOT_AVG_sdComb,TOT_AVG_sdInt,TOT_AVG_zcolor,TOT_PCT,Lat,Lon,hover,band
26,0,Arizona,Cardinals,2009,8,505143,63142,-0.580192222,-1,,,-1,-1,#e0f3f8,99.6,8,494007,61750,-1.965110255,,-2,,-2,-2,#abd9e9,90.6,16,999150,62446,-1.186476644,,-2,,-2,-2,#abd9e9,95,33.4467681,-112.0756724,Total Attendance in 2009 for Arizona was 999150,TRUE
25,0,Arizona,Cardinals,2010,8,502197,62774,-0.626131312,-1,,,-1,-1,#e0f3f8,99,8,520533,65066,-0.896021554,-1,,,-1,-1,#e0f3f8,93,16,1022730,63920,-0.861658095,-1,,,-1,-1,#e0f3f8,95.9,33.4467681,-112.0756724,Total Attendance in 2010 for Arizona was 1022730,TRUE
27,0,Arizona,Cardinals,2011,8,489455,61181,-0.824992644,-1,,,-1,-1,#e0f3f8,96.5,8,512208,64026,-1.231320785,,-2,,-2,-2,#abd9e9,91.1,16,1001663,62603,-1.151879282,,-2,,-2,-2,#abd9e9,93.6,33.4467681,-112.0756724,Total Attendance in 2011 for Arizona was 1001663,TRUE
26,0,Arizona,Cardinals,2012,8,487125,60890,-0.861319479,-1,,,-1,-1,#e0f3f8,96,8,541116,67639,-0.066478362,-1,,,-1,-1,#e0f3f8,96.3,16,1028241,64265,-0.785632044,-1,,,-1,-1,#e0f3f8,96.2,33.4467681,-112.0756724,Total Attendance in 2012 for Arizona was 1028241,TRUE
27,0,Arizona,Cardinals,2013,8,488271,61033,-0.843468148,-1,,,-1,-1,#e0f3f8,96.3,8,509439,63679,-1.343194663,,-2,,-2,-2,#abd9e9,93.5,16,997710,62356,-1.206309527,,-2,,-2,-2,#abd9e9,94.8,33.4467681,-112.0756724,Total Attendance in 2013 for Arizona was 997710,TRUE
26,0,Arizona,Cardinals,2014,8,495835,61979,-0.725374726,-1,,,-1,-1,#e0f3f8,97.8,8,557491,69686,0.593480796,+1,,,+1,1,#fee090,97.2,16,1053326,65832,-0.440319516,-1,,,-1,-1,#e0f3f8,97.4,33.4467681,-112.0756724,Total Attendance in 2014 for Arizona was 1053326,TRUE
23,0,Arizona,Cardinals,2015,8,513487,64185,-0.449989856,-1,,,-1,-1,#e0f3f8,98.7,8,514959,64369,-1.12073652,,-2,,-2,-2,#abd9e9,96.1,16,1028446,64277,-0.78298766,-1,,,-1,-1,#e0f3f8,97.4,33.4467681,-112.0756724,Total Attendance in 2015 for Arizona was 1028446,TRUE
17,1,Atlanta,Cardinals,2009,8,545389,68173,0.047850063,+1,,,+1,1,#fee090,95.7,8,581271,72658,1.551662828,,+2,,+2,2,#fdae61,98.2,16,1126660,70416,0.56983532,+1,,,+1,1,#fee090,97,33.7490987,-84.3901849,Total Attendance in 2009 for Atlanta was 1126660,FALSE
15,1,Atlanta,Cardinals,2010,8,542800,67850,0.007528524,+1,,,+1,1,#fee090,95.2,8,513390,64173,-1.183927528,,-2,,-2,-2,#abd9e9,93.3,16,1056190,66011,-0.400874116,-1,,,-1,-1,#e0f3f8,94.3,33.7490987,-84.3901849,Total Attendance in 2010 for Atlanta was 1056190,FALSE
15,1,Atlanta,Cardinals,2011,8,551892,68986,0.149340497,+1,,,+1,1,#fee090,96.8,8,521529,65191,-0.855721166,-1,,,-1,-1,#e0f3f8,96.7,16,1073421,67088,-0.163540617,-1,,,-1,-1,#e0f3f8,96.8,33.7490987,-84.3901849,Total Attendance in 2011 for Atlanta was 1073421,FALSE
