codes,xvar,yvar,names,city,state,lat,lon,tot.cases,occurrence,zcases,sd_color,z_color,size
ACY,1,1.3,Altantic City International Airport,Atlantic City,New Jersey,39.4513157,-74.5743851,25,0,0.166055271,blue,#3288bd,20
ART,2,1.3,Watertown,Dexter,New York,43.9916708,-76.0238454,6,1,0.039853265,blue,#3288bd,20
ATL,3,1.3,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,33.6407326,-84.4298888,230,2,1.52770849,yellow,#fdae61,20
BAL,4,1.3,Baltimore-Washington International Thrugood Marshall Airport,Baltimore,Maryland,39.1774083,-76.6705809,52,3,0.345394963,blue,#3288bd,20
BOS,5,1.3,Boston Logan International Airport,Boston,Massachusetts,42.3136903,-71.1271967,115,4,0.763854245,blue,#3288bd,20
CHI,6,1.3,Chicago O'Hare International Airport,Chicago,Illinois,41.9741665,-87.9095101,373,5,2.477544638,red,#9e0142,20
CIN,7,1.3,Cincinnati/Northern Kentucky International Airport,Hebron,Kentucky,39.0532787,-84.6652052,108,6,0.717358769,blue,#3288bd,20
CLE,1,1.2,Cleveland Hopkins International Airport,Cleveland,Ohio,41.4124379,-81.8501812,93,7,0.617725607,blue,#3288bd,20
CLT,2,1.2,Charlotte Douglas International Airport,Charlotte,North Carolina,35.214407,-80.9495033,139,8,0.923267305,blue,#3288bd,20
DAL,3,1.2,Dallas Love Field Airport,Dallas,Texas,32.8481074,-96.853395,373,9,2.477544638,red,#9e0142,20
DEN,4,1.2,Denver International Airport,Denver,Colorado,39.8561004,-104.6759263,220,10,1.461286382,yellow,#fdae61,20
DET,5,1.2,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,42.2161762,-83.3575729,253,11,1.680479339,yellow,#fdae61,20
DFT,6,1.2,Dallas/Fort Wirth International Airport,Grapevine,Texas,32.9598136,-97.0425239,7,12,0.046495476,blue,#3288bd,20
FC,7,1.2,FC,unknown,unknown,NA,NA,14,NA,NA,NA,NA,20
HOU,1,1.1,William P Hobby Airport,Houston,Texas,29.6542513,-95.2788313,330,13,2.191929572,red,#9e0142,20
HQ,2,1.1,HQ,unknown,unknown,NA,NA,85,NA,NA,NA,NA,20
LAS,3,1.1,McCarran International Airport,Las Vegas,Nevada,36.0840041,-115.1559276,182,14,1.20888237,yellow,#fdae61,20
LAX,4,1.1,Los Angeles International Airport,Las Angeles,California,33.9415933,-118.4107187,363,15,2.41112253,red,#9e0142,20
MIA,5,1.1,Miami International Airport,Miami,Florida,25.7958698,-80.2892344,269,16,1.786754712,yellow,#fdae61,20
MSP,6,1.1,Minneapolis-St. Paul International Airport,St. Paul,Minnesota,44.8847592,-93.2244733,77,17,0.511450234,blue,#3288bd,20
NWK,7,1.1,Newark Liberty International Airport,Newark,New Jersey,40.6895354,-74.1766511,164,18,1.089322575,yellow,#fdae61,20
NYC,1,1,New York,unknown,New York,NA,NA,471,NA,NA,NA,NA,20
ORL,2,1,Orlando,Orlando,Florida,28.4311624,-81.3102717,248,19,1.647268285,yellow,#fdae61,20
PHI,3,1,Philadelphia International Airport,Philadelphia,Pennsylvania,39.8744,-75.2446116,223,20,1.481213014,yellow,#fdae61,20
PIT,4,1,Pittsburgh International Airport,Pittsburgh,Pennsylvania,40.4957763,-80.2435,109,21,0.72400098,blue,#3288bd,20
SEA,5,1,Seattle-Tacoma International Airport,Seattle,Washington,47.4502535,-122.3110052,124,22,0.823634142,blue,#3288bd,20
SFO,6,1,San Francisco International Airport,San Francisco,California,37.6213171,-122.3811441,17,23,0.112917584,blue,#3288bd,20
WFO,7,1,WFO,unknown,unknown,NA,NA,530,NA,NA,NA,NA,20
