Common Name,Scientific Name,Count,Reporting Rate
Ostrich,Struthio camelus,53,0.00%
Southern Cassowary,Casuarius casuarius,560,0.04%
Emu,Dromaius novaehollandiae,20826,1.43%
Magpie Goose,Anseranas semipalmata,15819,1.08%
Spotted Whistling-Duck,Dendrocygna guttata,241,0.02%
Plumed Whistling-Duck,Dendrocygna eytoni,12153,0.83%
Wandering Whistling-Duck,Dendrocygna arcuata,8519,0.58%
Blue-billed Duck,Oxyura australis,20874,1.43%
Pink-eared Duck,Malacorhynchus membranaceus,29022,1.99%
Cape Barren Goose,Cereopsis novaehollandiae,8266,0.57%
Black Swan,Cygnus atratus,139704,9.58%
Mute Swan,Cygnus olor,448,0.03%
Canada Goose,Branta canadensis,16,0.00%
Radjah Shelduck,Radjah radjah,6108,0.42%
Australian Shelduck,Tadorna tadornoides,64049,4.39%
Paradise Shelduck,Tadorna variegata,7,0.00%
Hardhead,Aythya australis,78491,5.38%
Garganey,Spatula querquedula,16,0.00%
Australasian Shoveler,Spatula rhynchotis,37962,2.60%
Northern Shoveler,Spatula clypeata,147,0.01%
Eurasian Wigeon,Mareca penelope,1,0.00%
Pacific Black Duck,Anas superciliosa,263736,18.08%
Northern Mallard,Anas platyrhynchos,11553,0.79%
Grey Teal,Anas gracilis,139988,9.59%
Chestnut Teal,Anas castanea,104670,7.17%
Northern Pintail,Anas acuta,18,0.00%
Common Teal,Anas crecca,3,0.00%
Freckled Duck,Stictonetta naevosa,7982,0.55%
Musk Duck,Biziura lobata,35836,2.46%
Australian Wood Duck,Chenonetta jubata,165088,11.32%
Cotton Pygmy-goose,Nettapus coromandelianus,2314,0.16%
Green Pygmy-goose,Nettapus pulchellus,5885,0.40%
Australian Brush-turkey,Alectura lathami,24813,1.70%
Malleefowl,Leipoa ocellata,1277,0.09%
Orange-footed Scrubfowl,Megapodius reinwardt,10263,0.70%
Helmeted Guineafowl,Numida meleagris,575,0.04%
California Quail,Callipepla californica,76,0.01%
Indian Peafowl,Pavo cristatus,1086,0.07%
Stubble Quail,Coturnix pectoralis,7056,0.48%
Brown Quail,Synoicus ypsilophora,18160,1.24%
King Quail,Synoicus chinensis,353,0.02%
Red Junglefowl,Gallus gallus,235,0.02%
Green Junglefowl,Gallus varius,55,0.00%
Common Pheasant,Phasianus colchicus,292,0.02%
Wild Turkey,Meleagris gallopavo,138,0.01%
Greater Flamingo,Phoenicopterus roseus,11,0.00%
Little Grebe,Tachybaptus ruficollis,12,0.00%
Australasian Grebe,Tachybaptus novaehollandiae,106769,7.32%
Hoary-headed Grebe,Poliocephalus poliocephalus,68186,4.67%
Great Crested Grebe,Podiceps cristatus,15433,1.06%
Rock Dove,Columba livia,65936,4.52%
White-headed Pigeon,Columba leucomela,13753,0.94%
Barbary Dove,Streptopelia roseogrisea,261,0.02%
Red Collared-Dove,Streptopelia tranquebarica,1,0.00%
Spotted Dove,Streptopelia chinensis,152025,10.42%
Laughing Dove,Streptopelia senegalensis,35289,2.42%
Brown Cuckoo-Dove,Macropygia phasianella,23944,1.64%
Wonga Pigeon,Leucosarcia melanoleuca,18385,1.26%
Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,232,0.02%
White-quilled Rock-Pigeon,Petrophassa albipennis,733,0.05%
Spinifex Pigeon,Geophaps plumifera,3706,0.25%
Squatter Pigeon,Geophaps scripta,3265,0.22%
Partridge Pigeon,Geophaps smithii,308,0.02%
Common Bronzewing,Phaps chalcoptera,79947,5.48%
Brush Bronzewing,Phaps elegans,9374,0.64%
Flock Bronzewing,Phaps histrionica,610,0.04%
Crested Pigeon,Ocyphaps lophotes,230008,15.76%
Diamond Dove,Geopelia cuneata,17716,1.21%
Peaceful Dove,Geopelia placida,98857,6.78%
Bar-shouldered Dove,Geopelia humeralis,76845,5.27%
Brown-capped Emerald-Dove,Chalcophaps longirostris,9223,0.63%
Grey-capped Emerald-Dove,Chalcophaps indica,48,0.00%
Christmas Island Imperial-Pigeon,Ducula whartoni,137,0.01%
Collared Imperial-Pigeon,Ducula mullerii,44,0.00%
Torresian Imperial-Pigeon,Ducula spilorrhoa,9801,0.67%
Banded Fruit-Dove,Ptilinopus alligator,128,0.01%
Wompoo Fruit-Dove,Ptilinopus magnificus,8332,0.57%
Superb Fruit-Dove,Ptilinopus superbus,2683,0.18%
Rose-crowned Fruit-Dove,Ptilinopus regina,5761,0.39%
Topknot Pigeon,Lopholaimus antarcticus,9215,0.63%
Pheasant Coucal,Centropus phasianinus,30246,2.07%
Asian Koel,Eudynamys scolopaceus,5,0.00%
Eastern Koel,Eudynamys orientalis,33734,2.31%
Long-tailed Cuckoo,Urodynamys taitensis,1,0.00%
Channel-billed Cuckoo,Scythrops novaehollandiae,21923,1.50%
Horsfield's Bronze-Cuckoo,Chalcites basalis,33075,2.27%
Black-eared Cuckoo,Chalcites osculans,3242,0.22%
Shining Bronze-Cuckoo,Chalcites lucidus,29970,2.05%
Little Bronze-Cuckoo,Chalcites minutillus,6365,0.44%
Chestnut-breasted Cuckoo,Cacomantis castaneiventris,478,0.03%
Fan-tailed Cuckoo,Cacomantis flabelliformis,57662,3.95%
Brush Cuckoo,Cacomantis variolosus,16048,1.10%
