date,status,distance,time_logged,route,run_temp,min_temp,max_temp,dur_est,country,reason_not_run,time_run_start
8/17/17,yes,3.6,NA,park bridge,74.66,51.8,74.66,NA,australia,NA,NA
8/18/17,yes,3.6,NA,park bridge,63.86,52.7,63.86,NA,australia,NA,NA
8/19/17,no,0,NA,NA,NA,46.76,58.64,NA,australia,rest day,NA
8/20/17,no,0,NA,NA,NA,42.26,59,NA,australia,rest day,NA
8/21/17,yes,3.6,NA,park bridge,64.22,46.22,64.22,NA,australia,NA,NA
8/22/17,yes,3.6,NA,park bridge,65.66,47.48,65.66,NA,australia,NA,NA
8/23/17,yes,3.6,NA,park bridge,70.88,46.4,70.88,NA,australia,NA,NA
8/24/17,yes,3.6,NA,park bridge,62.78,50.36,62.78,NA,australia,NA,NA
8/25/17,yes,3.6,NA,park bridge,60.44,51.08,60.44,NA,australia,NA,NA
8/26/17,no,0,NA,NA,NA,44.96,68.9,NA,australia,rest day,NA
8/27/17,no,0,NA,NA,NA,44.96,67.64,NA,australia,rest day,NA
8/28/17,yes,3.6,NA,park bridge,57.74,43.7,57.74,NA,australia,NA,NA
8/29/17,yes,3.6,NA,park bridge,62.6,45.14,62.6,NA,australia,NA,NA
8/30/17,yes,3.6,NA,park bridge,62.06,46.22,62.06,NA,australia,NA,NA
8/31/17,yes,3.6,NA,park bridge,59.54,44.6,59.54,NA,australia,NA,NA
9/1/17,yes,3.6,NA,park bridge,61.88,45.86,61.88,NA,australia,NA,NA
9/2/17,no,0,NA,NA,NA,45.32,69.8,NA,australia,rest day,NA
9/3/17,no,0,NA,NA,NA,50,84.02,NA,australia,rest day,NA
9/4/17,yes,3.6,NA,park bridge,74.66,55.04,74.66,NA,australia,NA,NA
9/5/17,yes,2.3,NA,kfc,67.64,51.08,67.64,NA,australia,NA,NA
9/6/17,yes,2.3,NA,kfc,69.08,53.96,69.08,NA,australia,NA,NA
9/7/17,yes,2.3,NA,kfc,71.24,50.9,71.24,NA,australia,NA,NA
9/8/17,yes,2.3,NA,kfc,69.98,51.44,69.98,NA,australia,NA,NA
9/9/17,no,0,NA,NA,NA,47.3,63.14,NA,australia,rest day,NA
9/10/17,no,0,NA,NA,NA,45.5,65.48,NA,australia,rest day,NA
9/11/17,no,0,NA,NA,NA,48.38,77,NA,australia,rest day,NA
9/12/17,yes,2.7,NA,greek church,82.4,53.78,82.4,NA,australia,NA,NA
9/13/17,yes,2.4,NA,kfc,95.54,60.98,95.54,NA,australia,NA,NA
9/14/17,yes,2.7,NA,greek church,64.76,52.88,64.76,NA,australia,NA,NA
9/15/17,yes,2.4,NA,kfc,73.76,53.06,73.76,NA,australia,NA,NA
9/16/17,yes,2.4,NA,kfc,76.64,55.58,76.64,NA,australia,NA,NA
9/17/17,no,0,NA,NA,NA,44.96,63.32,NA,australia,rest day,NA
9/18/17,yes,2.4,NA,kfc,75.02,46.04,75.02,NA,australia,NA,NA
9/19/17,yes,2.4,NA,kfc,76.1,53.78,76.1,NA,australia,NA,NA
9/20/17,yes,2.4,NA,kfc,68,50,68,NA,australia,NA,NA
9/21/17,yes,2.4,NA,kfc,76.1,50.72,76.1,NA,australia,NA,NA
9/22/17,yes,2.4,NA,kfc,87.08,54.86,87.08,NA,australia,NA,NA
9/23/17,no,0,NA,NA,NA,59.72,93.02,NA,australia,moving,NA
9/24/17,no,0,NA,NA,NA,71.24,87.44,NA,australia,moving,NA
9/25/17,no,0,NA,NA,NA,60.8,83.84,NA,australia,moving,NA
9/26/17,no,0,NA,NA,NA,54.32,69.08,NA,australia,moving,NA
9/27/17,no,0,NA,NA,NA,58.82,76.1,NA,australia,moving,NA
9/28/17,yes,2.7,NA,greek church,79.88,64.58,79.88,NA,australia,NA,NA
9/29/17,no,0,NA,NA,NA,55.58,81.68,NA,australia,rest day,NA
9/30/17,no,0,NA,NA,NA,60.08,76.46,NA,australia,rest day,NA
10/1/17,no,0,NA,NA,NA,50.9,71.78,NA,australia,rest day,NA
10/2/17,yes,2.4,NA,kfc,75.56,53.06,75.56,NA,australia,NA,NA
